Price,Close,High,Low,Open,Volume
Ticker,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK
Date,,,,,
2021-12-16,6571.38232421875,6684.292673432131,6571.38232421875,6661.710603589455,95171400
2021-12-17,6774.6201171875,6774.6201171875,6593.963580729166,6616.545647786458,107096800
2021-12-20,6661.71044921875,6684.2925185381355,6616.546310579978,6639.128379899364,74753000
2021-12-21,6661.71044921875,6684.2925185381355,6616.546310579978,6616.546310579978,52386100
2021-12-22,6616.54541015625,6706.873675141319,6616.54541015625,6706.873675141319,33232000
2021-12-23,6593.9638671875,6639.128003264126,6593.9638671875,6616.545935225813,37136400
2021-12-24,6593.9638671875,6639.128003264126,6593.9638671875,6593.9638671875,30802100
2021-12-27,6639.1279296875,6639.1279296875,6593.963794111394,6593.963794111394,20722100
2021-12-28,6639.1279296875,6684.292065263605,6616.545861899447,6661.709997475553,39343800
2021-12-29,6593.9638671875,6661.710071302439,6593.9638671875,6639.128003264126,42079500
2021-12-30,6593.9638671875,6639.128003264126,6593.9638671875,6639.128003264126,49954700
2022-01-03,6616.54541015625,6684.2916088950515,6593.963343909983,6616.54541015625,54287400
2022-01-04,6684.2919921875,6729.456127269848,6616.545789563978,6616.545789563978,70624000
2022-01-05,6729.45654296875,6797.2027497771605,6661.7103361603395,6729.45654296875,76164900
2022-01-06,6752.0380859375,6797.202220291597,6706.873951583403,6774.620153114549,63657100
2022-01-07,6910.11328125,6955.277420343137,6774.620863970588,6819.7850030637255,143433300
2022-01-10,6864.9482421875,6910.112375359787,6819.784109015214,6842.366175601357,45351900
2022-01-11,6955.27685546875,6955.27685546875,6887.530652331067,6910.1127200436285,110334600
2022-01-12,6955.27685546875,6955.27685546875,6910.1127200436285,6955.27685546875,62606000
2022-01-13,6955.27685546875,7000.4409908938715,6910.1127200436285,6955.27685546875,50025200
2022-01-14,7090.76953125,7090.76953125,6910.112982683121,6955.277119824841,65898700
2022-01-17,7000.44140625,7135.933820564516,6955.277268145161,7135.933820564516,63902600
2022-01-18,6932.6943359375,7023.022600900856,6819.784004733307,7023.022600900856,71476300
2022-01-19,6932.6943359375,6977.858468419178,6842.366070974145,6910.112269696661,60389700
2022-01-20,7023.0224609375,7023.0224609375,6887.530066192725,6977.858329355908,59925500
2022-01-21,7181.09716796875,7181.09716796875,6955.276502309355,7023.022702007173,63370500
2022-01-24,7045.60546875,7090.769606370192,7023.023399939903,7068.187537560096,40278300
2022-01-25,7023.0224609375,7023.0224609375,6887.530066192725,6932.694197774316,106796900
2022-01-26,6955.27685546875,7000.4409908938715,6910.1127200436285,6955.27685546875,53350200
2022-01-27,7045.60546875,7045.60546875,6887.530987079327,6887.530987079327,71945100
2022-01-28,7023.0224609375,7068.186592519091,6955.2762635651125,7045.604526728295,70595000
2022-01-31,6887.53076171875,7023.023170146004,6887.53076171875,7023.023170146004,68122000
2022-02-02,7045.60546875,7045.60546875,6932.6951246995195,7023.023399939903,65308100
2022-02-03,6977.85888671875,7068.187157096986,6955.27681912419,7045.605089502427,35100600
2022-02-04,6977.85888671875,7045.605089502427,6955.27681912419,7000.440954313309,39324700
2022-02-07,7045.60546875,7045.60546875,6955.277193509615,7023.023399939903,56813200
2022-02-08,6977.85888671875,7090.769224691545,6977.85888671875,7000.440954313309,61883100
2022-02-09,7181.09716796875,7181.09716796875,7045.604768573113,7090.7689017049925,108922200
2022-02-10,7000.44140625,7181.097958669355,7000.44140625,7181.097958669355,93277000
2022-02-11,7068.1875,7068.1875,6910.113019169329,6932.695087859425,71968800
2022-02-14,6955.27685546875,7023.023058606433,6955.27685546875,7000.4409908938715,57710700
2022-02-15,7113.35107421875,7113.35107421875,6977.8586728050595,7000.440739707342,55617000
2022-02-16,7203.67919921875,7203.67919921875,7068.186800487363,7090.768866942594,77055100
2022-02-17,7135.93359375,7158.515662084652,7045.605320411392,7090.769457080696,48704600
2022-02-18,7158.51611328125,7181.098183039235,7090.769904007295,7181.098183039235,56813400
2022-02-21,7181.09716796875,7203.679234534689,7135.933034836871,7158.515101402811,43821700
2022-02-22,7135.93359375,7181.097730419303,7090.769457080696,7135.93359375,80095500
2022-02-23,7271.42626953125,7316.5904078513195,7113.351785411005,7135.93385457104,99240300
2022-02-24,7226.26220703125,7361.754623413086,7158.515998840332,7339.172554016113,124947700
2022-02-25,7271.42626953125,7384.336615331425,7158.515923731075,7181.09799289111,135899900
2022-03-01,7271.42626953125,7384.336615331425,7226.26213121118,7226.26213121118,136616800
2022-03-02,7203.67919921875,7429.499863771062,7203.67919921875,7429.499863771062,100301000
2022-03-04,7135.93359375,7248.843935423259,7135.93359375,7203.679798753955,132983400
2022-03-07,6955.27685546875,7090.769261744115,6955.27685546875,7045.605126318994,130990900
2022-03-08,6910.11328125,7090.769837622549,6910.11328125,6955.277420343137,119256500
2022-03-09,7090.76953125,7181.09780553344,6910.112982683121,6955.277119824841,132814500
2022-03-10,7158.51611328125,7203.6802527972195,7045.605764491324,7158.51611328125,86484000
2022-03-11,7181.09716796875,7181.09716796875,6977.858568875295,6977.858568875295,61053900
2022-03-14,7294.00732421875,7316.589390238003,7181.096994122485,7271.425258199497,78432100
2022-03-15,7361.75439453125,7406.918531921013,7294.008188446607,7361.75439453125,111214500
2022-03-16,7406.91845703125,7474.664662430926,7294.008114698457,7474.664662430926,149761300
2022-03-17,7226.26220703125,7497.247039794922,7226.26220703125,7497.247039794922,132439400
2022-03-18,7135.93359375,7316.5901404272145,7135.93359375,7226.261867088607,143981700
2022-03-21,7135.93359375,7181.097730419303,7045.605320411392,7045.605320411392,85485500
2022-03-22,7158.51611328125,7181.098183039235,7113.35197376528,7135.934043523265,60010900
2022-03-23,7135.93359375,7181.097730419303,7068.187388746044,7158.515662084652,82208000
2022-03-24,7158.51611328125,7181.098183039235,7045.605764491324,7090.769904007295,95245100
2022-03-25,7181.09716796875,7181.09716796875,7135.933034836871,7135.933034836871,85101200
2022-03-28,7245.29638671875,7245.29638671875,7153.583774228639,7176.511927351166,83911500
2022-03-29,7199.4404296875,7245.296738156847,7176.5122754528265,7222.3685839221735,62180600
2022-03-30,7222.3681640625,7245.296316964285,7176.511858258928,7245.296316964285,71430600
2022-03-31,7314.08056640625,7337.008718652038,7222.367957423099,7268.224261914675,112691900
2022-04-01,7268.22509765625,7405.794026949428,7199.440633009661,7405.794026949428,105575400
2022-04-04,7245.29638671875,7268.224539841278,7176.511927351166,7268.224539841278,57321200
2022-04-05,7245.29638671875,7245.29638671875,7199.440080473694,7245.29638671875,48528300
2022-04-06,7107.7275390625,7199.440152469758,7107.7275390625,7176.511999117944,119263000
2022-04-07,7107.7275390625,7176.511999117944,7061.871232358871,7084.799385710685,68619400
2022-04-08,7199.4404296875,7222.3685839221735,7130.65596698348,7153.584121218153,69791600
2022-04-11,7084.7998046875,7222.368732933859,7084.7998046875,7176.512423518406,62776200
2022-04-12,7153.583984375,7153.583984375,7061.871369190705,7084.799522986779,73471300
2022-04-13,7153.583984375,7199.4402919671475,7107.7276767828525,7153.583984375,57622100
2022-04-14,7061.87158203125,7153.5841999797085,7061.87158203125,7153.5841999797085,93342900
2022-04-18,7061.87158203125,7084.799736518365,6993.087118569907,7061.87158203125,68464700
2022-04-19,6993.0869140625,7061.871375512294,6993.0869140625,7061.871375512294,98632000
2022-04-20,7016.0146484375,7084.799105775122,6993.086495991626,7084.799105775122,124388800
2022-04-21,7268.22509765625,7268.22509765625,7107.728013480875,7153.584323245268,129323400
2022-04-22,7222.3681640625,7268.224469866072,7153.583705357143,7199.440011160715,85956100
2022-04-25,7337.00927734375,7337.00927734375,7176.5121994018555,7222.368507385254,91279600
2022-04-26,7451.6494140625,7451.6494140625,7268.224197716347,7268.224197716347,128360900
2022-04-27,7520.43408203125,7520.43408203125,7405.793318585652,7405.793318585652,89463100
2022-04-28,7451.6494140625,7566.290174278846,7405.793109975962,7566.290174278846,133730600
2022-05-09,6970.15869140625,7245.296534488076,6970.15869140625,7222.368380897924,456796600
2022-05-10,6901.3740234375,6970.158482142857,6649.164341517857,6649.164341517857,268445700
2022-05-11,7016.0146484375,7061.870953329249,6832.589428870507,6901.373886208129,156535200
2022-05-12,6672.0927734375,6924.302465904209,6672.0927734375,6901.374312043599,240529600
2022-05-13,6717.94921875,6855.518144731229,6649.164755759386,6649.164755759386,212968600
2022-05-17,6786.7333984375,6855.517858556799,6672.092631572002,6672.092631572002,159657600
